Algoritmo;Dimensione (n);Funzione hash;Tempo di esecuzione
KMH;32;9;760877
KMH;32;10;773774
KMH;32;11;771806
KMH;32;12;763696
KMH;32;13;765352
KMH;32;14;760650
KMH;32;15;762737
KMH;32;16;758308
KMH;32;17;753199
KMH;32;18;752753
KMH;32;19;756138
KMH;32;20;760002
KMH;32;21;761952
KMH;32;22;762764
KMH;32;23;764371
KMH;32;24;759161
KMH;32;25;761007
KMH;32;26;756385
KMH;32;27;769262
KMH;32;28;752451
KMH;32;29;754384
KMH;32;30;754860
KMH;32;31;753467
KMH;32;32;757581
KMH;32;33;752272
KMH;32;34;759073
KMH;32;35;759159
KMH;32;36;754617
KMH;32;37;749689
KMH;32;38;755104
KMH;32;39;766069
KMH;32;40;759673
KMH;32;41;760530
KMH;32;42;755530
KMH;32;43;761571
KMH;32;44;756604
KMH;32;45;751169
KMH;32;46;761059
KMH;32;47;761448
KMH;32;48;756448
KMH;32;49;750656
KMH;32;50;753974
KMH;32;51;756565
KMH;32;52;761698
KMH;32;53;760760
KMH;32;54;762031
KMH;32;55;791587
KMH;32;56;791800
KMH;32;57;798637
KMH;32;58;758697
KMH;32;59;791838
KMH;32;60;765044
KMH;32;61;776885
KMH;32;62;904042
KMH;32;63;763031
KMH;32;64;759826
KMH;32;65;765150
KMH;32;66;751649
KMH;32;67;759083
KMH;32;68;754622
KMH;32;69;760429
KMH;32;70;759478
KMH;32;71;759845
KMH;32;72;763190
KMH;32;73;761571
KMH;32;74;759357
KMH;32;75;755069
KMH;32;76;749913
KMH;32;77;758977
KMH;32;78;747027
KMH;32;79;747038
KMH;32;80;747970
KMH;32;81;747244
KMH;32;82;757189
KMH;32;83;761257
KMH;32;84;760536
KMH;32;85;766325
KMH;32;86;795753
KMH;32;87;753625
KMH;32;88;758259
KMH;32;89;753866
KMH;32;90;767205
KMH;32;91;800589
KMH;32;92;802322
KMH;32;93;880153
KMH;32;94;759357
KMH;32;95;771040
KMH;32;96;775173
KMH;32;97;810471
KMH;32;98;763558
KMH;32;99;757830
KMH;32;100;782470
KMH;64;1;760175
KMH;64;2;762140
KMH;64;3;754574
KMH;64;4;751084
KMH;64;5;756491
KMH;64;6;810073
KMH;64;7;802427
KMH;64;8;784708
KMH;64;9;752309
KMH;64;10;766632
KMH;64;11;756157
KMH;64;12;765410
KMH;64;13;766354
KMH;64;14;764767
KMH;64;15;763092
KMH;64;16;760279
KMH;64;17;753880
KMH;64;18;759312
KMH;64;19;771477
KMH;64;20;769755
KMH;64;21;752167
KMH;64;22;750764
KMH;64;23;763374
KMH;64;24;756589
KMH;64;25;751418
KMH;64;26;751352
KMH;64;27;752548
KMH;64;28;751079
KMH;64;29;763640
KMH;64;30;760380
KMH;64;31;874732
KMH;64;32;771010
KMH;64;33;769737
KMH;64;34;763307
KMH;64;35;769095
KMH;64;36;767772
KMH;64;37;768476
KMH;64;38;759478
KMH;64;39;766639
KMH;64;40;768924
KMH;64;41;884073
KMH;64;42;784903
KMH;64;43;764291
KMH;64;44;761436
KMH;64;45;752900
KMH;64;46;817290
KMH;64;47;767421
KMH;64;48;765832
KMH;64;49;756605
KMH;64;50;762929
KMH;64;51;839199
KMH;64;52;845896
KMH;64;53;764557
KMH;64;54;770102
KMH;64;55;767817
KMH;64;56;763829
KMH;64;57;770658
KMH;64;58;767085
KMH;64;59;763092
KMH;64;60;752102
KMH;64;61;754562
KMH;64;62;750406
KMH;64;63;771266
KMH;64;64;782935
KMH;64;65;806603
KMH;64;66;769518
KMH;64;67;794514
KMH;64;68;769928
KMH;64;69;768358
KMH;64;70;776210
KMH;64;71;891554
KMH;64;72;840382
KMH;64;73;773307
KMH;64;74;875771
KMH;64;75;759817
KMH;64;76;757973
KMH;64;77;800752
KMH;64;78;771060
KMH;64;79;765805
KMH;64;80;859108
KMH;64;81;775908
KMH;64;82;815384
KMH;64;83;790760
KMH;64;84;775011
KMH;64;85;769477
KMH;64;86;801069
KMH;64;87;766368
KMH;64;88;767382
KMH;64;89;776772
KMH;64;90;765005
KMH;64;91;764996
KMH;64;92;804981
KMH;64;93;757745
KMH;64;94;796698
KMH;64;95;835963
KMH;64;96;841126
KMH;64;97;765206
KMH;64;98;765410
KMH;64;99;766248
KMH;64;100;793946
KMH;128;1;836638
KMH;128;2;785790
KMH;128;3;815382
KMH;128;4;771992
KMH;128;5;771756
KMH;128;6;771093
KMH;128;7;765840
KMH;128;8;759455
KMH;128;9;761984
KMH;128;10;763662
KMH;128;11;771070
KMH;128;12;778396
KMH;128;13;766386
KMH;128;14;762393
KMH;128;15;769331
KMH;128;16;770856
KMH;128;17;772245
KMH;128;18;759320
KMH;128;19;758316
KMH;128;20;766616
KMH;128;21;772662
KMH;128;22;771360
KMH;128;23;766887
KMH;128;24;767614
KMH;128;25;780039
KMH;128;26;764897
KMH;128;27;763142
KMH;128;28;783865
KMH;128;29;767687
KMH;128;30;770416
KMH;128;31;768625
KMH;128;32;775534
KMH;128;33;767130
KMH;128;34;770745
KMH;128;35;767824
KMH;128;36;758581
KMH;128;37;758364
KMH;128;38;761513
KMH;128;39;877843
KMH;128;40;917512
KMH;128;41;778900
KMH;128;42;772103
KMH;128;43;772169
KMH;128;44;763698
KMH;128;45;758751
KMH;128;46;769496
KMH;128;47;764742
KMH;128;48;764598
KMH;128;49;771980
KMH;128;50;769534
KMH;128;51;757558
KMH;128;52;757839
KMH;128;53;757915
KMH;128;54;758478
KMH;128;55;770432
KMH;128;56;764769
KMH;128;57;771085
KMH;128;58;771257
KMH;128;59;771169
KMH;128;60;772227
KMH;128;61;771839
KMH;128;62;761955
KMH;128;63;770867
KMH;128;64;771092
KMH;128;65;771648
KMH;128;66;850251
KMH;128;67;781840
KMH;128;68;767864
KMH;128;69;760993
KMH;128;70;758863
KMH;128;71;769241
KMH;128;72;823412
KMH;128;73;814149
KMH;128;74;773164
KMH;128;75;770010
KMH;128;76;765748
KMH;128;77;769308
KMH;128;78;760332
KMH;128;79;771076
KMH;128;80;770362
KMH;128;81;820750
KMH;128;82;775450
KMH;128;83;834781
KMH;128;84;775967
KMH;128;85;778012
KMH;128;86;887164
KMH;128;87;772337
KMH;128;88;823186
KMH;128;89;778046
KMH;128;90;772415
KMH;128;91;805764
KMH;128;92;767664
KMH;128;93;765286
KMH;128;94;760397
KMH;128;95;769010
KMH;128;96;767823
