Algoritmo;K;Jaccard_reale;Ripetizione;Jaccard_stimata
KMH;16;0.19882;54;0
KMH;16;0.19882;55;0
KMH;16;0.19882;56;0
KMH;16;0.19882;57;0
KMH;16;0.19882;58;0
KMH;16;0.19882;59;0.0625
KMH;16;0.19882;60;0.0625
KMH;16;0.19882;61;0.125
KMH;16;0.19882;62;0.125
KMH;16;0.19882;63;0.125
KMH;16;0.19882;64;0.125
KMH;16;0.19882;65;0.1875
KMH;16;0.19882;66;0.1875
KMH;16;0.19882;67;0.1875
KMH;16;0.19882;68;0.1875
KMH;16;0.19882;69;0.25
KMH;16;0.19882;70;0.25
KMH;16;0.19882;71;0.3125
KMH;16;0.19882;72;0.3125
KMH;16;0.19882;73;0.3125
KMH;16;0.19882;74;0.3125
KMH;16;0.19882;75;0.25
KMH;16;0.19882;76;0.25
KMH;16;0.19882;77;0.1875
KMH;16;0.19882;78;0.25
KMH;16;0.19882;79;0.25
KMH;16;0.19882;80;0.25
KMH;16;0.19882;81;0.25
KMH;16;0.19882;82;0.25
KMH;16;0.19882;83;0.25
KMH;16;0.19882;84;0.25
KMH;16;0.19882;85;0.1875
KMH;16;0.19882;86;0.1875
KMH;16;0.19882;87;0.1875
KMH;16;0.19882;88;0.1875
KMH;16;0.19882;89;0.1875
KMH;16;0.19882;90;0.1875
KMH;16;0.19882;91;0.25
KMH;16;0.19882;92;0.25
KMH;16;0.19882;93;0.25
KMH;16;0.19882;94;0.1875
KMH;16;0.19882;95;0.1875
KMH;16;0.19882;96;0.25
KMH;16;0.19882;97;0.1875
KMH;16;0.19882;98;0.1875
KMH;16;0.19882;99;0.25
KMH;16;0.19882;100;0.25
KMH;16;0.30016;1;0.375
KMH;16;0.30016;2;0.375
KMH;16;0.30016;3;0.375
KMH;16;0.30016;4;0.375
KMH;16;0.30016;5;0.3125
KMH;16;0.30016;6;0.375
KMH;16;0.30016;7;0.375
KMH;16;0.30016;8;0.3125
KMH;16;0.30016;9;0.25
KMH;16;0.30016;10;0.3125
KMH;16;0.30016;11;0.3125
KMH;16;0.30016;12;0.3125
KMH;16;0.30016;13;0.3125
KMH;16;0.30016;14;0.25
KMH;16;0.30016;15;0.25
KMH;16;0.30016;16;0.25
KMH;16;0.30016;17;0.1875
KMH;16;0.30016;18;0.25
KMH;16;0.30016;19;0.25
KMH;16;0.30016;20;0.25
KMH;16;0.30016;21;0.25
KMH;16;0.30016;22;0.25
KMH;16;0.30016;23;0.1875
KMH;16;0.30016;24;0.1875
KMH;16;0.30016;25;0.1875
KMH;16;0.30016;26;0.125
KMH;16;0.30016;27;0.125
KMH;16;0.30016;28;0.125
KMH;16;0.30016;29;0.125
KMH;16;0.30016;30;0.125
KMH;16;0.30016;31;0.125
KMH;16;0.30016;32;0.125
KMH;16;0.30016;33;0.1875
KMH;16;0.30016;34;0.1875
KMH;16;0.30016;35;0.1875
KMH;16;0.30016;36;0.25
KMH;16;0.30016;37;0.3125
KMH;16;0.30016;38;0.3125
KMH;16;0.30016;39;0.3125
KMH;16;0.30016;40;0.375
KMH;16;0.30016;41;0.375
KMH;16;0.30016;42;0.375
KMH;16;0.30016;43;0.375
KMH;16;0.30016;44;0.4375
KMH;16;0.30016;45;0.4375
KMH;16;0.30016;46;0.4375
KMH;16;0.30016;47;0.4375
KMH;16;0.30016;48;0.4375
KMH;16;0.30016;49;0.375
KMH;16;0.30016;50;0.3125
KMH;16;0.30016;51;0.375
KMH;16;0.30016;52;0.375
KMH;16;0.30016;53;0.3125
KMH;16;0.30016;54;0.25
KMH;16;0.30016;55;0.25
KMH;16;0.30016;56;0.1875
KMH;16;0.30016;57;0.1875
KMH;16;0.30016;58;0.25
KMH;16;0.30016;59;0.25
KMH;16;0.30016;60;0.1875
KMH;16;0.30016;61;0.1875
KMH;16;0.30016;62;0.1875
KMH;16;0.30016;63;0.25
KMH;16;0.30016;64;0.25
KMH;16;0.30016;65;0.25
KMH;16;0.30016;66;0.25
KMH;16;0.30016;67;0.1875
KMH;16;0.30016;68;0.125
KMH;16;0.30016;69;0.125
KMH;16;0.30016;70;0.1875
KMH;16;0.30016;71;0.1875
KMH;16;0.30016;72;0.25
KMH;16;0.30016;73;0.25
KMH;16;0.30016;74;0.1875
KMH;16;0.30016;75;0.1875
KMH;16;0.30016;76;0.1875
KMH;16;0.30016;77;0.1875
KMH;16;0.30016;78;0.1875
KMH;16;0.30016;79;0.125
KMH;16;0.30016;80;0.125
KMH;16;0.30016;81;0.125
KMH;16;0.30016;82;0.125
KMH;16;0.30016;83;0.1875
KMH;16;0.30016;84;0.1875
KMH;16;0.30016;85;0.1875
KMH;16;0.30016;86;0.125
KMH;16;0.30016;87;0.125
KMH;16;0.30016;88;0.0625
KMH;16;0.30016;89;0.0625
KMH;16;0.30016;90;0.125
KMH;16;0.30016;91;0.125
KMH;16;0.30016;92;0.1875
KMH;16;0.30016;93;0.1875
KMH;16;0.30016;94;0.1875
KMH;16;0.30016;95;0.25
KMH;16;0.30016;96;0.25
KMH;16;0.30016;97;0.25
KMH;16;0.30016;98;0.25
KMH;16;0.30016;99;0.1875
KMH;16;0.30016;100;0.25
KMH;16;0.39906;1;0.5
KMH;16;0.39906;2;0.5
KMH;16;0.39906;3;0.5
KMH;16;0.39906;4;0.4375
KMH;16;0.39906;5;0.4375
KMH;16;0.39906;6;0.4375
KMH;16;0.39906;7;0.5
KMH;16;0.39906;8;0.4375
KMH;16;0.39906;9;0.4375
KMH;16;0.39906;10;0.4375
KMH;16;0.39906;11;0.375
KMH;16;0.39906;12;0.375
KMH;16;0.39906;13;0.3125
KMH;16;0.39906;14;0.25
KMH;16;0.39906;15;0.25
KMH;16;0.39906;16;0.25
KMH;16;0.39906;17;0.1875
KMH;16;0.39906;18;0.125
KMH;16;0.39906;19;0.125
KMH;16;0.39906;20;0.125
KMH;16;0.39906;21;0.125
